Date,Portfolio,Portfolio Daily Return %,Portfolio Value,Portfolio Cumulative Return %
2025-12-23,Conservative,0.0,10000.0,0.0
2025-12-23,Growth,0.0,10000.0,0.0
2025-12-24,Conservative,0.737,10073.7,0.737
2025-12-24,Growth,0.027500000000000004,10002.75,0.028
2025-12-26,Conservative,-0.16199999999999998,10057.381,0.574
2025-12-26,Growth,-0.23400000000000004,9979.344,-0.207
2025-12-29,Conservative,-0.751,9981.85,-0.181
2025-12-29,Growth,-1.202,9859.392,-1.406
2025-12-30,Conservative,-0.227,9959.191,-0.408
2025-12-30,Growth,-0.39049999999999996,9820.891,-1.791
2025-12-31,Conservative,-0.368,9922.541,-0.775
2025-12-31,Growth,-0.7000000000000001,9752.145,-2.479
2026-01-02,Conservative,0.9319999999999999,10015.019,0.15
2026-01-02,Growth,-0.7989999999999999,9674.225,-3.258
2026-01-05,Conservative,0.20299999999999985,10035.35,0.354
2026-01-05,Growth,1.107,9781.319,-2.187
2026-01-06,Conservative,0.761,10111.719,1.117
2026-01-06,Growth,-0.697,9713.143,-2.869
2026-01-07,Conservative,-0.4149999999999998,10069.755,0.698
2026-01-07,Growth,0.12099999999999997,9724.896,-2.751
2026-01-08,Conservative,-0.41500000000000004,10027.966,0.28
2026-01-08,Growth,1.1102230246251565e-16,9724.896,-2.751
2026-01-09,Conservative,-0.7250000000000001,9955.263,-0.447
2026-01-09,Growth,0.6335,9786.503,-2.135
2026-01-12,Conservative,-0.26499999999999996,9928.881,-0.711
2026-01-12,Growth,0.21000000000000002,9807.055,-1.929
2026-01-13,Conservative,-1.173,9812.416,-1.876
2026-01-13,Growth,-0.28700000000000003,9778.908,-2.211
2026-01-14,Conservative,-0.8629999999999998,9727.734,-2.723
2026-01-14,Growth,-1.576,9624.793,-3.752
2026-01-15,Conservative,-0.17199999999999996,9711.003,-2.89
2026-01-15,Growth,0.6324999999999998,9685.67,-3.143
2026-01-16,Conservative,0.384,9748.293,-2.517
2026-01-16,Growth,-0.3025,9656.371,-3.436
2026-01-20,Conservative,-1.4949999999999999,9602.556,-3.974
2026-01-20,Growth,-3.8985,9279.917,-7.201
2026-01-21,Conservative,0.093,9611.486,-3.885
2026-01-21,Growth,1.723,9439.81,-5.602
2026-01-22,Conservative,0.6040000000000001,9669.54,-3.305
2026-01-22,Growth,1.67,9597.455,-4.025
2026-01-23,Conservative,-0.744,9597.598,-4.024
2026-01-23,Growth,0.9325,9686.951,-3.13
2026-01-26,Conservative,0.77,9671.5,-3.285
2026-01-26,Growth,-0.4479999999999999,9643.553,-3.564
2026-01-27,Conservative,0.5670000000000001,9726.337,-2.737
2026-01-27,Growth,0.964,9736.517,-2.635
2026-01-28,Conservative,-0.34,9693.268,-3.067
2026-01-28,Growth,0.19749999999999998,9755.747,-2.443
2026-01-29,Conservative,1.4209999999999998,9831.009,-1.69
2026-01-29,Growth,-0.6950000000000001,9687.944,-3.121
2026-01-30,Conservative,0.248,9855.39,-1.446
2026-01-30,Growth,0.4535,9731.879,-2.681
2026-02-02,Conservative,1.234,9977.005,-0.23
2026-02-02,Growth,-0.1725000000000001,9715.092,-2.849
2026-02-03,Conservative,1.094,10086.154,0.862
2026-02-03,Growth,-1.3295000000000001,9585.93,-4.141
2026-02-04,Conservative,0.10399999999999998,10096.644,0.966
2026-02-04,Growth,-2.038,9390.568,-6.094
2026-02-05,Conservative,-0.44900000000000007,10051.31,0.513
2026-02-05,Growth,-2.0885,9194.446,-8.056
2026-02-06,Conservative,2.6399999999999997,10316.664,3.167
2026-02-06,Growth,2.0084999999999997,9379.117,-6.209
2026-02-09,Conservative,-0.21800000000000003,10294.174,2.942
2026-02-09,Growth,0.7035,9445.099,-5.549
2026-02-10,Conservative,-0.998,10191.438,1.914
2026-02-10,Growth,-0.04249999999999998,9441.085,-5.589
2026-02-11,Conservative,-1.466,10042.031,0.42
2026-02-11,Growth,0.20650000000000002,9460.581,-5.394
2026-02-12,Conservative,-0.6259999999999998,9979.168,-0.208
2026-02-12,Growth,-2.697,9205.429,-7.946
2026-02-13,Conservative,0.271,10006.212,0.062
2026-02-13,Growth,-1.1969999999999998,9095.24,-9.048
2026-02-17,Conservative,0.6689999999999999,10073.153,0.732
2026-02-17,Growth,0.878,9175.096,-8.249
2026-02-18,Conservative,0.29599999999999993,10102.97,1.03
2026-02-18,Growth,1.02,9268.682,-7.313
2026-02-19,Conservative,-0.631,10039.22,0.392
2026-02-19,Growth,-0.26799999999999996,9243.842,-7.562
2026-02-20,Conservative,0.11599999999999999,10050.866,0.509
2026-02-20,Growth,1.2615,9360.453,-6.395
2026-02-23,Conservative,-1.6989999999999998,9880.102,-1.199
2026-02-23,Growth,-0.9095,9275.32,-7.247
2026-02-24,Conservative,-0.37100000000000005,9843.446,-1.566
2026-02-24,Growth,1.6495000000000002,9428.316,-5.717
